,time,latitude,longitude,depth,mag,epochs,energia,DTsegs,DTdays,energialog,label5,label4,celda10,celda12,celda14,celda16,celda18,celda20,celda22,celda24,celda26,celda28,celda30,celda32,celda34,celda36,celda38,celda40,celda42,celda44,celda46,celda48,celda50,celda52,celda54,celda56,celda58,celda60,celda62,celda64,celda66,celda68,celda70,celda72,celda74,celda76,celda78,celda80,celda82,celda84,celda86,celda88,celda90,celda92,celda94,celda96,celda98,celda100,celda102,celda104,celda106,celda108,celda110,celda112,celda114,celda116,celda118,celda120
229,1973-01-05 00:39:48.200000+00:00,0.683,-80.018,36.0,4.7,95042388,707945784384.1403,0,0.0,27.285633351979445,0,0,3888443375,1875307831,674871613,395624721,247005989,81038806,55356146,39089464,28383327,21104757,16017272,12374760,9711579,7728021,763,681,648,578,513,492,437,420,371,357,314,304,294,257,249,242,235,204,197,192,187,160,156,153,149,146,143,120,117,115,113,111,108,106,87,86,84,82,80,79,78,77
231,1973-01-07 01:04:57.200000+00:00,6.856,-73.074,160.0,5.1,95216697,2818382931264.449,174309,2.0174652777777777,28.667184407775867,4,3,20738327744,8126316485,3711774122,1978110887,988017260,648293932,387481788,234529116,170293442,105519732,80082634,61870762,38844521,30910484,24903229,20287481,12520646,10396800,8705047,7344013,6239048,5334438,3059019,2645569,2299730,2008655,1762281,1552568,1373180,1219023,1085911,970532,870081,782336,705378,637693,289158,262686,239201,218271,199604,182895,167907,154408,142260,131288,121339,112334,104153,96708,89902,83700,78027,72830,68060,63663
232,1973-01-11 06:50:51.800000+00:00,12.174,-76.865,33.0,4.5,95583051,354813389233.57605,366354,4.240208333333333,26.59485782408123,3,2,3888466269,1250223756,674883338,395633743,123511770,81044583,55360907,39093453,28386732,21107727,16019803,12377021,2981,2616,2383,2130,1942,1772,1617,1474,1380,1257,1177,1103,1003,940,880,824,772,750,703,658,616,600,561,525,511,478,467,436,427,398,389,362,354,348,323,317,294,289,284,279,257,253,249,230
233,1973-01-11 21:03:48.600000+00:00,6.839,-72.926,156.0,4.2,95634228,125892541179.41713,51177,0.5923263888888889,25.55869453223391,4,3,19442183741,8126316486,3711773995,1780300728,988017260,567257929,387481788,234529116,170293442,105519668,80082634,49497078,38844521,30910484,24903229,15215978,12520646,10396800,8705047,7344013,6239049,5334438,3059019,2645569,2299730,2008655,1762282,1552568,1373180,1219023,1085911,970532,870081,782336,705378,319033,289158,262686,239201,218271,199604,182895,167887,154408,142260,131289,121339,112334,104153,96708,89902,83700,78027,72830,68060,63663
234,1973-01-13 07:47:27.800000+00:00,-0.459,-77.957,25.0,4.4,95759247,251188643150.95822,125019,1.4469791666666667,26.249470060132122,0,0,2592297053,1250206346,337437567,197813676,123504063,81038277,55355666,39089098,1333,1174,975,858,755,713,627,552,525,461,401,385,369,320,309,298,256,248,240,204,197,192,187,182,152,148,144,141,137,134,110,108,105,102,100,98,96,95,75,74,72,71,70,69,67,66,65,64
235,1973-01-17 04:58:14.700000+00:00,5.114,-78.458,33.0,4.2,96094694,125892541179.41713,335447,3.882488425925926,25.55869453223391,2,2,3888452212,1250213991,674876126,395628220,123507460,81041064,55358035,39090971,28384649,21105921,16018238,12375666,1759,1561,1384,1270,1124,1031,948,871,800,734,674,650,596,547,529,485,469,429,417,381,370,337,329,320,290,283,277,250,245,239,215,211,207,202,198,177,173,170,167,164,146,143,141,139
236,1973-01-18 08:52:49.700000+00:00,11.035,-73.406,61.0,4.5,96195169,354813389233.57605,100475,1.1629050925925926,26.59485782408123,4,3,7776895980,3125522300,1349748021,593443027,370513567,243115980,110714279,78180598,56768058,42210755,32035580,12376808,9713401,7729641,6227602,5073508,4174920,3466855,2902817,2449067,2080644,1779046,1530184,1323420,1150463,1004890,828,774,724,703,656,614,596,557,520,507,472,461,430,420,391,382,355,347,340,316,310,304,280,275,270,250,245,241,237,218
237,1973-01-21 16:37:10.200000+00:00,6.943,-75.337,66.0,5.3,96482230,5623413251903.491,287061,3.322465277777778,29.35795993567408,3,2,7776887858,3125516582,1349743762,791249912,370511056,243113989,166066478,78179164,56766804,42209718,32034673,24749700,9712653,7728985,6227028,5073008,4174444,3466441,2902422,2448688,2080315,1778731,1529914,1323159,1150210,1004677,881449,776569,686880,513,473,461,423,412,379,370,361,330,322,315,289,282,276,251,246,242,219,215,210,207,203,183,180,177,174,172
238,1973-01-25 13:06:08.900000+00:00,-1.44,-77.621,186.0,4.7,96815168,707945784384.1403,332938,3.853449074074074,27.285633351979445,0,0,23330599141,9376504901,4386631413,2175914491,1235014508,729325771,442832173,273613749,198672656,126620928,96096821,61869116,48553697,38636334,24902078,20286434,16692789,13861127,11605564,7343291,6238354,5333805,4587543,3967452,3448740,3012201,2642666,1552166,1372790,1218646,1085569,970200,869782,782045,705118,637417,577681,524797,477841,436033,398710,365306,167710,154235,142089,131103,121175,112173,103995,96553,89766,83568,77897,72702,67934,63554
239,1973-02-01 04:10:23+00:00,-4.033,-80.534,75.0,4.9,97387823,1412537544622.7554,572655,6.627951388888889,27.976408879877656,0,0,9073009845,3750601238,1687165442,791241326,494005462,243108471,166061870,117262819,56763597,42206868,32032194,24747544,19421403,15454433,6225497,5071599,4173187,3465282,2901392,2447739,2079440,1777924,1529137,1322441,1149549,1004037,880860,776026,686353,609282,542745,485062,434854,26,26,25,23,23,22,22,22,21,21,20,20,20,19,19,18,2,2,2,2,2,2,2
