time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1904-12-02T02:19:12.800Z,5.384,-80.533,15,6.49,mw,,,,,iscgemsup,iscgemsup600208133,2022-05-09T15:18:35.751Z,"208 km S of Cambutal, Panama",earthquake,,25,0.93,,reviewed,iscgemsup,iscgemsup
1906-01-31T15:36:10.000Z,0.955,-79.369,20,8.8,mw,,,,,official,official19060131153610_30,2022-05-09T22:48:26.808Z,"1906 Ecuador-Colombia Earthquake",earthquake,,,,,reviewed,iscgem,official
1907-06-01T08:40:37.290Z,1.494,-79.952,15,6.62,mw,,,,,iscgem,iscgem16957960,2022-04-25T20:28:53.019Z,"67 km NNW of Esmeraldas, Ecuador",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1907-06-05T03:21:52.300Z,2.094,-78.328,35,6.47,mw,,,,,iscgem,iscgem16957961,2022-04-25T20:28:58.861Z,"37 km SSW of La Tola, Colombia",earthquake,,11,0.2,,reviewed,iscgem,iscgem
1911-04-10T18:42:16.710Z,7.541,-74.416,70,6.38,mw,,,,,iscgem,iscgem16958140,2022-04-25T20:32:53.027Z,"43 km E of El Bagre, Colombia",earthquake,,3.1,0.2,,reviewed,iscgem,iscgem
1912-07-24T11:59:18.950Z,-4.896,-80.491,35,6.8,mw,,,,,iscgem,iscgem16958203,2022-04-25T20:34:12.943Z,"13 km ESE of Huangala, Peru",earthquake,,3.6,0.42,,reviewed,iscgem,iscgem
1913-07-25T12:38:08.890Z,12.471,-80.815,15,6.15,mw,,,,,iscgem,iscgem914084,2022-04-26T00:09:31.869Z,"97 km E of San Andrés, Colombia",earthquake,,25,0.26,,reviewed,iscgem,iscgem
1913-10-02T04:23:37.120Z,7.575,-79.838,15,6.63,mw,,,,,iscgem,iscgem914094,2022-04-26T00:09:51.347Z,"21 km ENE of Pedasí, Panama",earthquake,,3.6,0.26,,reviewed,iscgem,iscgem
1914-04-20T13:29:57.170Z,4.72,-78.684,15,6.53,mw,,,,,iscgem,iscgem913979,2022-04-26T00:06:44.298Z,"148 km W of Pizarro, Colombia",earthquake,,2.9,0.21,,reviewed,iscgem,iscgem
1914-05-28T03:23:58.610Z,9.873,-78.338,35,6.53,mw,,,,,iscgem,iscgem913985,2022-04-26T00:06:51.476Z,"54 km NNE of Narganá, Panama",earthquake,,25,0.21,,reviewed,iscgem,iscgem
1914-09-25T10:30:44.680Z,-4.615,-80.424,35,6.17,mw,,,,,iscgem,iscgem914006,2022-04-26T00:07:32.166Z,"20 km WNW of Las Lomas, Peru",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1914-11-18T09:38:00.190Z,0.32,-81.951,15,6.53,mw,,,,,iscgem,iscgem914019,2022-04-26T00:07:48.734Z,"197 km NW of Manta, Ecuador",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1916-06-30T03:00:27.350Z,0.733,-80.013,15,6.75,mw,,,,,iscgem,iscgem913821,2022-04-26T00:02:36.428Z,"13 km N of Muisne, Ecuador",earthquake,,13.4,0.27,,reviewed,iscgem,iscgem
1917-03-29T02:01:30.990Z,-2.395,-80.688,15,6.22,mw,,,,,iscgemsup,iscgemsup913436,2022-05-09T18:06:06.830Z,"26 km SE of Santa Elena, Ecuador",earthquake,,21.4,0.2,,reviewed,iscgemsup,iscgemsup
1917-06-27T12:26:40.020Z,7.21,-81.494,15,5.98,mw,,,,,iscgem,iscgem913549,2022-04-25T23:59:13.914Z,"58 km SSW of Río Grande, Panama",earthquake,,25,0.41,,reviewed,iscgem,iscgem
1917-06-30T17:50:29.980Z,6.867,-79.879,15,6.16,mw,,,,,iscgem,iscgem913554,2022-04-25T23:59:16.171Z,"75 km SSE of Pedasí, Panama",earthquake,,25,0.35,,reviewed,iscgem,iscgem
1917-08-30T03:24:19.570Z,3.725,-73.866,15,6.43,mw,,,,,iscgem,iscgem913645,2022-04-26T00:00:24.349Z,"8 km SSW of Cubarral, Colombia",earthquake,,25,0.47,,reviewed,iscgem,iscgem
1917-08-31T11:36:24.560Z,3.792,-73.649,15,7.05,mw,,,,,iscgem,iscgem913647,2022-04-26T00:00:27.197Z,"5 km SE of Castilla La Nueva, Colombia",earthquake,,25,0.45,,reviewed,iscgem,iscgem
1918-04-27T14:44:13.080Z,10.093,-80.651,15,5.77,mw,,,,,iscgemsup,iscgemsup913133,2022-05-09T18:04:11.080Z,"112 km N of Coclé del Norte, Panama",earthquake,,25,0.41,,reviewed,iscgemsup,iscgemsup
1918-12-21T09:24:55.980Z,-0.625,-72.256,35,6.2,mw,,,,,iscgemsup,iscgemsup913382,2022-05-09T18:05:48.623Z,"Colombia",earthquake,,25,0.78,,reviewed,iscgemsup,iscgemsup
1919-07-11T00:30:40.130Z,7.684,-71.867,15,6.22,mw,,,,,iscgem,iscgem912842,2022-04-25T23:52:38.698Z,"40 km ESE of San Cristóbal, Venezuela",earthquake,,5.2,0.6,,reviewed,iscgem,iscgem
1920-01-30T18:26:47.290Z,3.156,-77.469,35,6.35,mw,,,,,iscgem,iscgem912416,2022-04-25T23:45:43.540Z,"47 km NNE of Timbiquí, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-11-13T08:40:57.950Z,11.829,-71.459,15,6.35,mw,,,,,iscgem,iscgem912363,2022-04-25T23:45:18.809Z,"88 km E of Uribia, Colombia",earthquake,,42.7,0.39,,reviewed,iscgem,iscgem
1921-12-18T15:29:27.130Z,-3.918,-71.52,540,7.3,mw,,,,,iscgem,iscgem912389,2022-04-25T21:14:30.026Z,"130 km W of Puerto Nariño, Colombia",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1922-01-17T03:50:28.100Z,-2.853,-71.438,475,7.9,mw,,,,,iscgem,iscgem911801,2022-04-25T23:39:41.293Z,"143 km ESE of San Antonio del Estrecho, Peru",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1923-12-14T10:31:19.960Z,0.691,-78.19,10,6.26,mw,,,,,iscgem,iscgem911774,2022-04-25T23:39:34.239Z,"28 km WNW of El Ángel, Ecuador",earthquake,,3.6,0.57,,reviewed,iscgem,iscgem
1923-12-22T09:56:12.090Z,4.56,-73.509,15,6.38,mw,,,,,iscgem,iscgem911781,2022-04-25T21:14:12.034Z,"14 km S of Gachalá, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-03-11T22:44:25.790Z,-3.277,-81.7,15,6.04,mw,,,,,iscgem,iscgem910863,2022-04-25T23:29:55.368Z,"117 km NW of Máncora, Peru",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1924-06-22T22:29:06.280Z,5.082,-78.608,15,5.84,mw,,,,,iscgem,iscgem910995,2022-04-25T23:31:11.065Z,"138 km W of Pizarro, Colombia",earthquake,,25,0.28,,reviewed,iscgem,iscgem
1924-07-06T14:18:51.100Z,7.218,-77.696,20,6.43,mw,,,,,iscgem,iscgem911013,2022-04-25T23:31:16.844Z,"14 km NNE of Juradó, Colombia",earthquake,,6.1,0.2,,reviewed,iscgem,iscgem
1924-07-22T04:04:00.740Z,-1.248,-78.917,15,6.23,mw,,,,,iscgem,iscgem911038,2022-04-25T23:31:36.459Z,"33 km W of Ambato, Ecuador",earthquake,,14.6,0.2,,reviewed,iscgem,iscgem
1924-10-18T23:05:31.670Z,2.959,-79.885,15,6.07,mw,,,,,iscgem,iscgem911164,2022-04-25T21:13:47.709Z,"167 km WNW of Mosquera, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1925-01-28T10:58:45.360Z,9.73,-81.643,15,6.2,mw,,,,,iscgem,iscgem910342,2022-04-25T23:24:16.214Z,"66 km NNE of Kusapín, Panama",earthquake,,25,0.26,,reviewed,iscgem,iscgem
1925-03-29T21:12:35.940Z,7.879,-77.83,15,6.4,mw,,,,,iscgem,iscgem910429,2022-04-25T23:24:58.018Z,"19 km SSE of Camogantí, Panama",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1925-07-31T08:46:19.100Z,5.037,-78.956,15,5.87,mw,,,,,iscgem,iscgem910626,2022-04-25T23:27:24.177Z,"176 km W of Pizarro, Colombia",earthquake,,25,0.21,,reviewed,iscgem,iscgem
1926-03-27T06:23:29.330Z,0.406,-80.099,11,5.51,mw,,,,,iscgemsup,iscgemsup909793,2022-05-09T17:45:48.880Z,"24 km SSW of Muisne, Ecuador",earthquake,,13.4,0.2,,reviewed,iscgemsup,iscgemsup
1927-06-10T17:08:17.420Z,-0.695,-78.072,15,5.99,mw,,,,,iscgem,iscgem909329,2022-04-25T23:05:43.842Z,"",earthquake,,6.2,0.2,,reviewed,iscgem,iscgem
1927-08-20T23:54:31.140Z,5.286,-81.949,10,6.71,mw,,,,,iscgem,iscgem909462,2022-04-25T21:12:31.731Z,"260 km SSW of Arenas, Panama",earthquake,,25,0.22,,reviewed,iscgem,iscgem
1927-08-21T10:19:15.520Z,5.58,-81.609,10,5.85,mw,,,,,iscgem,iscgem909463,2022-04-25T23:08:04.756Z,"214 km SSW of Arenas, Panama",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1928-05-21T17:02:13.520Z,-4.824,-81.025,35,5.52,mw,,,,,iscgem,iscgem908687,2022-04-25T22:52:52.853Z,"10 km NNE of San Lucas ( Pueblo Nuevo de Colan), Peru",earthquake,,5.8,0.24,,reviewed,iscgem,iscgem
1928-05-26T14:03:28.790Z,-4.544,-77.716,15,5.96,mw,,,,,iscgem,iscgem908696,2022-04-25T22:52:57.073Z,"119 km WNW of Barranca, Peru",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1928-11-01T16:08:36.790Z,4.948,-73.097,15,5.93,mw,,,,,iscgem,iscgem908950,2022-04-25T22:58:50.430Z,"9 km S of Campohermoso, Colombia",earthquake,,19.4,0.2,,reviewed,iscgem,iscgem
1930-03-08T03:45:30.870Z,9.874,-78.871,15,5.91,mw,,,,,iscgem,iscgem907262,2022-04-25T22:25:55.348Z,"36 km NNE of El Porvenir, Panama",earthquake,,10.6,0.23,,reviewed,iscgem,iscgem
1930-08-29T08:27:39.980Z,7.913,-81.804,35,5.85,mw,,,,,iscgem,iscgem907565,2022-04-25T22:31:53.049Z,"24 km SSW of Quebrada de Piedra, Panama",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1931-05-01T22:36:56.240Z,8.132,-70.077,15,5.93,mw,,,,,iscgem,iscgem906754,2022-04-25T22:16:40.964Z,"53 km SSE of Alto Barinas, Venezuela",earthquake,,10.9,0.24,,reviewed,iscgem,iscgem
1932-02-17T16:06:58.590Z,11.749,-73.801,15,5.94,mw,,,,,iscgem,iscgem906026,2022-04-25T22:03:14.514Z,"71 km NE of Santa Marta, Colombia",earthquake,,25,0.4,,reviewed,iscgem,iscgem
1932-03-14T22:42:52.860Z,7.954,-71.997,15,6.27,mw,,,,,iscgem,iscgem906065,2022-04-25T22:03:30.387Z,"29 km ENE of Táriba, Venezuela",earthquake,,5.6,0.2,,reviewed,iscgem,iscgem
1933-10-02T15:29:27.890Z,-1.82,-80.747,15,6.79,mw,,,,,iscgem,iscgem905851,2022-04-25T21:59:35.453Z,"46 km SW of Paján, Ecuador",earthquake,,15.7,0.2,,reviewed,iscgem,iscgem
1933-10-03T10:21:24.480Z,-1.78,-80.917,15,5.95,mw,,,,,iscgem,iscgem905856,2022-04-25T21:59:36.850Z,"48 km N of Salinas, Ecuador",earthquake,,20.9,0.2,,reviewed,iscgem,iscgem
1933-11-04T08:41:18.540Z,8.615,-71.836,15,5.89,mw,,,,,iscgem,iscgem905897,2022-04-25T22:00:00.825Z,"19 km W of El Vigía, Venezuela",earthquake,,2.2,0.38,,reviewed,iscgem,iscgem
1934-04-03T07:36:32.090Z,4.243,-77.742,15,5.94,mw,,,,,iscgem,iscgem904867,2022-04-25T21:43:55.241Z,"41 km W of Santa Genoveva de Docordó, Colombia",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1934-08-06T12:07:09.460Z,3.333,-77.938,15,5.85,mw,,,,,iscgem,iscgem905093,2022-04-25T21:09:17.289Z,"69 km NNW of Timbiquí, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1935-08-07T09:02:15.880Z,0.921,-77.461,15,5.95,mw,,,,,iscgem,iscgem904456,2022-04-25T21:35:25.170Z,"8 km SE of Iles, Colombia",earthquake,,12.2,0.27,,reviewed,iscgem,iscgem
1935-09-18T04:57:55.780Z,5.099,-76.078,15,6.07,mw,,,,,iscgem,iscgem904522,2022-04-25T21:36:06.691Z,"12 km WNW of Santuario, Colombia",earthquake,,15.4,0.51,,reviewed,iscgem,iscgem
1935-11-30T03:39:51.560Z,9.701,-79.745,35,6.33,mw,,,,,iscgem,iscgem904676,2022-04-25T21:39:21.571Z,"19 km NNW of Portobelo, Panama",earthquake,,14.2,0.29,,reviewed,iscgem,iscgem
1935-12-24T12:24:12.590Z,2.728,-79.18,25,6.31,mw,,,,,iscgem,iscgem904719,2022-04-25T21:40:28.675Z,"84 km WNW of Mosquera, Colombia",earthquake,,2.9,0.26,,reviewed,iscgem,iscgem
1937-05-21T13:12:18.920Z,2.504,-78.285,15,5.91,mw,,,,,iscgem,iscgem903085,2022-04-25T21:07:46.274Z,"15 km NW of La Tola, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1938-02-08T07:16:14.110Z,-1.402,-80.82,15,6.29,mw,,,,,iscgem,iscgem902365,2022-04-25T20:52:49.546Z,"27 km WSW of Jipijapa, Ecuador",earthquake,,10.3,0.2,,reviewed,iscgem,iscgem
1938-02-08T14:21:28.850Z,-1.527,-81.226,15,6.29,mw,,,,,iscgem,iscgem902368,2022-04-25T20:52:50.821Z,"74 km WSW of Jipijapa, Ecuador",earthquake,,10.3,0.2,,reviewed,iscgem,iscgem
